relation_type,from_id,to_id,properties
点击,user_005,item_011,"{""click_date"": ""2026-01-19"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
搜索,user_005,item_003,"{""search_date"": ""2026-01-16"", ""search_keyword"": ""\u5b9d\u9a6cX5"", ""item_name"": ""\u5b9d\u9a6cX5""}"
常驻POI,user_005,poi_002,"{""start_date"": ""2024-11-03"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_005,poi_005,"{""start_date"": ""2024-02-18"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_005,poi_007,"{""visit_date"": ""2026-01-27"", ""visit_duration"": 43, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
高频出现在POI,user_005,poi_008,"{""visit_date"": ""2026-01-29"", ""visit_duration"": 150, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
浏览,user_006,item_016,"{""browse_date"": ""2026-01-17"", ""browse_duration"": 452, ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
曝光,user_006,item_015,"{""exposure_date"": ""2026-02-07"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
点击,user_006,item_011,"{""click_date"": ""2026-02-11"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
搜索,user_006,item_018,"{""search_date"": ""2026-01-27"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afLX"", ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
常驻POI,user_006,poi_003,"{""start_date"": ""2023-09-28"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_006,poi_006,"{""start_date"": ""2025-02-23"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_006,app_001,"{""usage_date"": ""2026-01-16"", ""usage_duration"": 2702, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
使用,user_006,app_008,"{""usage_date"": ""2026-02-10"", ""usage_duration"": 2672, ""app_name"": ""\u4f18\u4fe1\u4e8c\u624b\u8f66""}"
浏览,user_007,item_016,"{""browse_date"": ""2026-02-01"", ""browse_duration"": 358, ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
浏览,user_007,item_006,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 503, ""item_name"": ""\u5954\u9a70GLC""}"
浏览,user_007,item_005,"{""browse_date"": ""2026-01-18"", ""browse_duration"": 314, ""item_name"": ""\u5954\u9a70E\u7ea7""}"
点击,user_007,item_007,"{""click_date"": ""2026-02-08"", ""click_source"": ""\u5fae\u4fe1\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA8""}"
搜索,user_007,item_011,"{""search_date"": ""2026-01-22"", ""search_keyword"": ""\u7279\u65af\u62c9Model 3"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
比价过,user_007,item_013,"{""compare_date"": ""2026-01-24"", ""compared_items"": [""item_013"", ""item_019""]}"
常驻POI,user_007,poi_003,"{""start_date"": ""2024-09-17"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_007,poi_006,"{""start_date"": ""2024-08-20"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_007,app_009,"{""usage_date"": ""2026-02-12"", ""usage_duration"": 3156, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_007,app_001,"{""usage_date"": ""2026-01-14"", ""usage_duration"": 1060, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
使用,user_007,app_011,"{""usage_date"": ""2026-02-08"", ""usage_duration"": 2447, ""app_name"": ""\u6296\u97f3""}"
浏览,user_008,item_019,"{""browse_date"": ""2026-02-08"", ""browse_duration"": 419, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_008,item_006,"{""browse_date"": ""2026-01-23"", ""browse_duration"": 525, ""item_name"": ""\u5954\u9a70GLC""}"
搜索,user_008,item_010,"{""search_date"": ""2026-01-26"", ""search_keyword"": ""\u7279\u65af\u62c9Model S"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
常驻POI,user_008,poi_001,"{""start_date"": ""2023-07-28"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_008,poi_005,"{""start_date"": ""2025-07-29"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_008,poi_009,"{""visit_date"": ""2026-01-14"", ""visit_duration"": 129, ""poi_name"": ""\u7279\u65af\u62c9\u4f53\u9a8c\u5e97""}"
使用,user_008,app_007,"{""usage_date"": ""2026-02-08"", ""usage_duration"": 2992, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
使用,user_008,app_004,"{""usage_date"": ""2026-02-08"", ""usage_duration"": 1409, ""app_name"": ""\u7279\u65af\u62c9""}"
使用,user_008,app_010,"{""usage_date"": ""2026-01-31"", ""usage_duration"": 1999, ""app_name"": ""\u9ad8\u5fb7\u5730\u56fe""}"
浏览,user_009,item_004,"{""browse_date"": ""2026-01-25"", ""browse_duration"": 361, ""item_name"": ""\u5954\u9a70S\u7ea7""}"
浏览,user_009,item_007,"{""browse_date"": ""2026-01-30"", ""browse_duration"": 450, ""item_name"": ""\u5965\u8feaA8""}"
曝光,user_009,item_017,"{""exposure_date"": ""2026-02-10"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
比价过,user_009,item_013,"{""compare_date"": ""2026-02-08"", ""compared_items"": [""item_013"", ""item_010""]}"
留资,user_009,item_008,"{""register_date"": ""2026-02-09"", ""register_channel"": ""APP\u7559\u8d44"", ""item_name"": ""\u5965\u8feaA6""}"
常驻POI,user_009,poi_003,"{""start_date"": ""2023-10-02"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
高频出现在POI,user_009,poi_008,"{""visit_date"": ""2026-01-31"", ""visit_duration"": 52, ""poi_name"": ""\u5954\u9a70\u4f53\u9a8c\u4e2d\u5fc3""}"
高频出现在POI,user_009,poi_014,"{""visit_date"": ""2026-01-14"", ""visit_duration"": 128, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_009,app_005,"{""usage_date"": ""2026-01-25"", ""usage_duration"": 2611, ""app_name"": ""\u5b9d\u9a6c""}"
使用,user_009,app_003,"{""usage_date"": ""2026-01-15"", ""usage_duration"": 1915, ""app_name"": ""\u6613\u8f66""}"
使用,user_009,app_004,"{""usage_date"": ""2026-01-24"", ""usage_duration"": 1122, ""app_name"": ""\u7279\u65af\u62c9""}"
拥有,user_010,item_004,"{""owned_date"": ""2025-02-15"", ""item_name"": ""\u5954\u9a70S\u7ea7""}"
浏览,user_010,item_019,"{""browse_date"": ""2026-02-08"", ""browse_duration"": 184, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_010,item_017,"{""browse_date"": ""2026-02-09"", ""browse_duration"": 373, ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
浏览,user_010,item_006,"{""browse_date"": ""2026-01-31"", ""browse_duration"": 181, ""item_name"": ""\u5954\u9a70GLC""}"
点击,user_010,item_016,"{""click_date"": ""2026-02-07"", ""click_source"": ""\u5fae\u4fe1\u5e7f\u544a"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
搜索,user_010,item_015,"{""search_date"": ""2026-01-17"", ""search_keyword"": ""\u4fdd\u65f6\u6377911"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
留资,user_010,item_004,"{""register_date"": ""2026-01-25"", ""register_channel"": ""4S\u5e97\u7559\u8d44"", ""item_name"": ""\u5954\u9a70S\u7ea7""}"
常驻POI,user_010,poi_002,"{""start_date"": ""2023-12-15"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_010,poi_004,"{""start_date"": ""2025-01-21"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_010,poi_007,"{""visit_date"": ""2026-01-14"", ""visit_duration"": 43, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
高频出现在POI,user_010,poi_010,"{""visit_date"": ""2026-02-08"", ""visit_duration"": 130, ""poi_name"": ""\u4fdd\u65f6\u6377\u4e2d\u5fc3""}"
使用,user_010,app_009,"{""usage_date"": ""2026-02-06"", ""usage_duration"": 542, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
购买,user_011,item_020,"{""purchase_date"": ""2025-12-05"", ""purchase_amount"": 931949, ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
浏览,user_011,item_010,"{""browse_date"": ""2026-02-12"", ""browse_duration"": 306, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
浏览,user_011,item_011,"{""browse_date"": ""2026-01-27"", ""browse_duration"": 247, ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
曝光,user_011,item_008,"{""exposure_date"": ""2026-01-25"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA6""}"
点击,user_011,item_007,"{""click_date"": ""2026-02-08"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA8""}"
搜索,user_011,item_012,"{""search_date"": ""2026-01-15"", ""search_keyword"": ""\u7279\u65af\u62c9Model X"", ""item_name"": ""\u7279\u65af\u62c9Model X""}"
常驻POI,user_011,poi_002,"{""start_date"": ""2023-03-21"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_011,poi_005,"{""start_date"": ""2024-03-09"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
使用,user_011,app_004,"{""usage_date"": ""2026-01-26"", ""usage_duration"": 3270, ""app_name"": ""\u7279\u65af\u62c9""}"
使用,user_011,app_007,"{""usage_date"": ""2026-01-14"", ""usage_duration"": 1861, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
使用,user_011,app_007,"{""usage_date"": ""2026-02-06"", ""usage_duration"": 1304, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
曝光,user_012,item_017,"{""exposure_date"": ""2026-02-01"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
留资,user_012,item_001,"{""register_date"": ""2026-02-03"", ""register_channel"": ""\u5b98\u7f51\u7559\u8d44"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
常驻POI,user_012,poi_002,"{""start_date"": ""2024-08-26"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_012,poi_005,"{""start_date"": ""2024-10-30"", ""poi_name"": ""\u4e2d\u5173\u6751\u8f6f\u4ef6\u56ed""}"
高频出现在POI,user_012,poi_014,"{""visit_date"": ""2026-02-10"", ""visit_duration"": 115, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_012,app_012,"{""usage_date"": ""2026-01-30"", ""usage_duration"": 1409, ""app_name"": ""\u5fae\u4fe1""}"
使用,user_012,app_009,"{""usage_date"": ""2026-01-17"", ""usage_duration"": 1594, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
拥有,user_013,item_013,"{""owned_date"": ""2025-04-29"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
曝光,user_013,item_003,"{""exposure_date"": ""2026-01-21"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6cX5""}"
搜索,user_013,item_004,"{""search_date"": ""2026-01-14"", ""search_keyword"": ""\u5954\u9a70S\u7ea7"", ""item_name"": ""\u5954\u9a70S\u7ea7""}"
常驻POI,user_013,poi_002,"{""start_date"": ""2023-11-09"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
使用,user_013,app_013,"{""usage_date"": ""2026-02-09"", ""usage_duration"": 3481, ""app_name"": ""\u4eca\u65e5\u5934\u6761""}"
使用,user_013,app_002,"{""usage_date"": ""2026-01-29"", ""usage_duration"": 881, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_013,app_010,"{""usage_date"": ""2026-02-08"", ""usage_duration"": 1191, ""app_name"": ""\u9ad8\u5fb7\u5730\u56fe""}"
浏览,user_014,item_018,"{""browse_date"": ""2026-01-18"", ""browse_duration"": 227, ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
浏览,user_014,item_020,"{""browse_date"": ""2026-01-19"", ""browse_duration"": 125, ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
曝光,user_014,item_002,"{""exposure_date"": ""2026-01-28"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6c5\u7cfb""}"
点击,user_014,item_001,"{""click_date"": ""2026-01-14"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
常驻POI,user_014,poi_001,"{""start_date"": ""2024-04-28"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_014,poi_006,"{""start_date"": ""2024-10-01"", ""poi_name"": ""\u91d1\u878d\u8857""}"
高频出现在POI,user_014,poi_007,"{""visit_date"": ""2026-02-02"", ""visit_duration"": 58, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
高频出现在POI,user_014,poi_007,"{""visit_date"": ""2026-01-30"", ""visit_duration"": 73, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
使用,user_014,app_005,"{""usage_date"": ""2026-01-31"", ""usage_duration"": 3182, ""app_name"": ""\u5b9d\u9a6c""}"
购买,user_015,item_015,"{""purchase_date"": ""2025-09-19"", ""purchase_amount"": 582052, ""item_name"": ""\u4fdd\u65f6\u6377911""}"
浏览,user_015,item_016,"{""browse_date"": ""2026-01-17"", ""browse_duration"": 84, ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
浏览,user_015,item_014,"{""browse_date"": ""2026-02-03"", ""browse_duration"": 467, ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
浏览,user_015,item_015,"{""browse_date"": ""2026-02-06"", ""browse_duration"": 505, ""item_name"": ""\u4fdd\u65f6\u6377911""}"
曝光,user_015,item_019,"{""exposure_date"": ""2026-01-25"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
常驻POI,user_015,poi_003,"{""start_date"": ""2023-04-06"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
高频出现在POI,user_015,poi_014,"{""visit_date"": ""2026-02-07"", ""visit_duration"": 173, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_015,app_007,"{""usage_date"": ""2026-01-27"", ""usage_duration"": 1519, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
使用,user_015,app_002,"{""usage_date"": ""2026-01-23"", ""usage_duration"": 2722, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_015,app_011,"{""usage_date"": ""2026-02-08"", ""usage_duration"": 3424, ""app_name"": ""\u6296\u97f3""}"
浏览,user_016,item_001,"{""browse_date"": ""2026-01-26"", ""browse_duration"": 246, ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
浏览,user_016,item_020,"{""browse_date"": ""2026-02-05"", ""browse_duration"": 473, ""item_name"": ""\u6c83\u5c14\u6c83XC90""}"
曝光,user_016,item_001,"{""exposure_date"": ""2026-01-27"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
留资,user_016,item_010,"{""register_date"": ""2026-02-09"", ""register_channel"": ""\u7535\u8bdd\u7559\u8d44"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
常驻POI,user_016,poi_002,"{""start_date"": ""2024-11-03"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_016,poi_006,"{""start_date"": ""2025-02-02"", ""poi_name"": ""\u91d1\u878d\u8857""}"
使用,user_016,app_009,"{""usage_date"": ""2026-02-12"", ""usage_duration"": 2968, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_016,app_006,"{""usage_date"": ""2026-01-29"", ""usage_duration"": 1893, ""app_name"": ""\u5954\u9a70""}"
购买,user_017,item_019,"{""purchase_date"": ""2025-04-14"", ""purchase_amount"": 1431442, ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
浏览,user_017,item_014,"{""browse_date"": ""2026-01-20"", ""browse_duration"": 139, ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
浏览,user_017,item_001,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 520, ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
浏览,user_017,item_010,"{""browse_date"": ""2026-01-21"", ""browse_duration"": 539, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
曝光,user_017,item_014,"{""exposure_date"": ""2026-02-03"", ""exposure_channel"": ""\u641c\u7d22\u5e7f\u544a"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
点击,user_017,item_015,"{""click_date"": ""2026-01-25"", ""click_source"": ""\u5fae\u4fe1\u5e7f\u544a"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
常驻POI,user_017,poi_003,"{""start_date"": ""2025-01-20"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_017,poi_004,"{""start_date"": ""2025-05-25"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_017,poi_010,"{""visit_date"": ""2026-02-05"", ""visit_duration"": 79, ""poi_name"": ""\u4fdd\u65f6\u6377\u4e2d\u5fc3""}"
高频出现在POI,user_017,poi_007,"{""visit_date"": ""2026-02-06"", ""visit_duration"": 129, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
使用,user_017,app_002,"{""usage_date"": ""2026-01-31"", ""usage_duration"": 2312, ""app_name"": ""\u61c2\u8f66\u5e1d""}"
使用,user_017,app_009,"{""usage_date"": ""2026-02-06"", ""usage_duration"": 2832, ""app_name"": ""\u6ef4\u6ef4\u51fa\u884c""}"
使用,user_017,app_005,"{""usage_date"": ""2026-01-28"", ""usage_duration"": 3496, ""app_name"": ""\u5b9d\u9a6c""}"
浏览,user_018,item_013,"{""browse_date"": ""2026-01-26"", ""browse_duration"": 443, ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
曝光,user_018,item_007,"{""exposure_date"": ""2026-01-21"", ""exposure_channel"": ""\u4fe1\u606f\u6d41\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA8""}"
点击,user_018,item_007,"{""click_date"": ""2026-02-12"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5965\u8feaA8""}"
搜索,user_018,item_016,"{""search_date"": ""2026-01-19"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afES"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
常驻POI,user_018,poi_002,"{""start_date"": ""2023-05-28"", ""poi_name"": ""\u6d77\u6dc0\u533a\u516c\u5bd3""}"
工作POI,user_018,poi_004,"{""start_date"": ""2024-06-06"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_018,poi_007,"{""visit_date"": ""2026-02-09"", ""visit_duration"": 84, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
使用,user_018,app_011,"{""usage_date"": ""2026-01-24"", ""usage_duration"": 572, ""app_name"": ""\u6296\u97f3""}"
使用,user_018,app_001,"{""usage_date"": ""2026-01-28"", ""usage_duration"": 2029, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
使用,user_018,app_006,"{""usage_date"": ""2026-01-19"", ""usage_duration"": 2856, ""app_name"": ""\u5954\u9a70""}"
拥有,user_019,item_010,"{""owned_date"": ""2025-07-14"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
浏览,user_019,item_013,"{""browse_date"": ""2026-02-03"", ""browse_duration"": 498, ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
浏览,user_019,item_003,"{""browse_date"": ""2026-02-04"", ""browse_duration"": 105, ""item_name"": ""\u5b9d\u9a6cX5""}"
曝光,user_019,item_011,"{""exposure_date"": ""2026-02-09"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
点击,user_019,item_007,"{""click_date"": ""2026-02-07"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u5965\u8feaA8""}"
搜索,user_019,item_018,"{""search_date"": ""2026-02-01"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afLX"", ""item_name"": ""\u96f7\u514b\u8428\u65afLX""}"
留资,user_019,item_014,"{""register_date"": ""2026-02-11"", ""register_channel"": ""\u5b98\u7f51\u7559\u8d44"", ""item_name"": ""\u4fdd\u65f6\u6377Cayenne""}"
常驻POI,user_019,poi_003,"{""start_date"": ""2023-11-24"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
使用,user_019,app_005,"{""usage_date"": ""2026-02-07"", ""usage_duration"": 3089, ""app_name"": ""\u5b9d\u9a6c""}"
