event_id,user_id,action,timestamp,session_id,duration,item_id,app_id,poi_id,purchase_amount,search_keyword,compared_items
event_00546,user_055,browse,2026-01-14T07:42:09,sess_user_055_2026-01-14,277,item_014,app_007,poi_001,,,
event_00121,user_011,browse,2026-01-14T07:47:06,sess_user_011_2026-01-14,312,item_020,,poi_004,,,
event_00623,user_063,purchase,2026-01-14T07:56:26,sess_user_063_2026-01-14,1491,item_012,app_011,poi_009,1097472,,
event_00458,user_046,click,2026-01-14T09:15:49,sess_user_046_2026-01-14,9,item_008,app_003,poi_006,,,
event_00464,user_046,click,2026-01-14T09:20:03,sess_user_046_2026-01-14,4,item_016,app_006,,,,
event_00643,user_064,browse,2026-01-14T19:07:10,sess_user_064_2026-01-14,162,,app_011,poi_002,,,
event_00235,user_023,search,2026-01-14T19:27:43,sess_user_023_2026-01-14,297,item_003,,poi_010,,宝马X5,
event_00535,user_054,browse,2026-01-14T19:50:10,sess_user_054_2026-01-14,83,item_020,app_005,poi_007,,,
event_00655,user_066,purchase,2026-01-14T20:09:23,sess_user_066_2026-01-14,688,item_004,app_007,,469318,,
event_00330,user_032,purchase,2026-01-14T20:11:14,sess_user_032_2026-01-14,1465,,,poi_010,,,
event_00685,user_068,compare,2026-01-14T20:59:26,sess_user_068_2026-01-14,110,item_012,app_005,poi_003,,,"item_012,item_001"
event_00405,user_041,compare,2026-01-14T21:02:22,sess_user_041_2026-01-14,35,item_011,,poi_008,,,"item_011,item_015"
event_00034,user_004,browse,2026-01-14T21:15:02,sess_user_004_2026-01-14,465,item_011,app_008,poi_002,,,
event_00050,user_005,browse,2026-01-14T21:18:57,sess_user_005_2026-01-14,187,item_008,app_004,poi_005,,,
event_00658,user_066,search,2026-01-14T21:19:13,sess_user_066_2026-01-14,113,item_001,,poi_005,,宝马7系,
event_00766,user_077,browse,2026-01-14T21:23:08,sess_user_077_2026-01-14,414,item_005,app_008,poi_008,,,
event_00682,user_068,browse,2026-01-14T21:33:00,sess_user_068_2026-01-14,216,,app_012,poi_012,,,
event_00677,user_067,click,2026-01-14T22:14:19,sess_user_067_2026-01-14,2,item_012,app_003,poi_005,,,
event_00641,user_064,click,2026-01-14T22:25:22,sess_user_064_2026-01-14,1,item_018,,poi_015,,,
event_00436,user_043,browse,2026-01-14T23:58:28,sess_user_043_2026-01-14,407,item_017,app_003,poi_006,,,
event_00740,user_075,browse,2026-01-15T00:23:24,sess_user_075_2026-01-15,242,item_020,app_012,,,,
event_00151,user_015,search,2026-01-15T00:52:32,sess_user_015_2026-01-15,168,item_008,app_012,poi_010,,奥迪A6,
event_00361,user_035,add_to_cart,2026-01-15T01:28:16,sess_user_035_2026-01-15,159,item_013,app_012,,,,
event_00705,user_070,browse,2026-01-15T01:55:33,sess_user_070_2026-01-15,452,item_010,app_008,poi_012,,,
event_00343,user_034,browse,2026-01-15T02:32:10,sess_user_034_2026-01-15,247,item_020,app_002,poi_013,,,
event_00017,user_002,purchase,2026-01-15T02:35:49,sess_user_002_2026-01-15,272,item_016,app_001,poi_004,967139,,
event_00341,user_034,purchase,2026-01-15T02:42:51,sess_user_034_2026-01-15,1674,item_012,app_005,poi_012,331356,,
event_00590,user_060,browse,2026-01-15T02:53:38,sess_user_060_2026-01-15,506,item_012,app_007,poi_011,,,
event_00318,user_031,click,2026-01-15T03:45:03,sess_user_031_2026-01-15,10,item_002,,,,,
event_00393,user_039,browse,2026-01-15T03:50:13,sess_user_039_2026-01-15,534,item_013,,poi_012,,,
event_00088,user_009,add_to_cart,2026-01-15T04:00:22,sess_user_009_2026-01-15,241,item_012,app_004,poi_009,,,
event_00115,user_011,browse,2026-01-15T04:56:25,sess_user_011_2026-01-15,548,item_002,app_006,poi_008,,,
event_00236,user_023,click,2026-01-15T05:07:37,sess_user_023_2026-01-15,8,item_007,,,,,
event_00339,user_033,search,2026-01-15T05:15:46,sess_user_033_2026-01-15,183,item_010,,poi_016,,特斯拉Model S,
event_00243,user_024,click,2026-01-15T05:54:28,sess_user_024_2026-01-15,3,item_016,app_002,,,,
event_00933,user_093,search,2026-01-15T06:06:00,sess_user_093_2026-01-15,92,item_014,app_009,poi_012,,保时捷Cayenne,
event_00334,user_033,compare,2026-01-15T07:10:40,sess_user_033_2026-01-15,190,item_015,app_005,,,,"item_015,item_016"
event_00543,user_055,click,2026-01-15T07:17:33,sess_user_055_2026-01-15,7,item_018,,,,,
event_00743,user_075,add_to_cart,2026-01-15T07:56:30,sess_user_075_2026-01-15,295,item_013,app_002,poi_009,,,
event_00640,user_064,browse,2026-01-15T07:58:11,sess_user_064_2026-01-15,374,item_012,app_011,poi_007,,,
event_00898,user_089,browse,2026-01-15T09:29:30,sess_user_089_2026-01-15,35,,app_002,poi_016,,,
event_00338,user_033,browse,2026-01-15T09:32:37,sess_user_033_2026-01-15,597,item_006,app_013,poi_001,,,
event_00002,user_001,compare,2026-01-15T19:33:10,sess_user_001_2026-01-15,37,item_007,app_002,poi_002,,,"item_007,item_006"
event_00896,user_089,add_to_cart,2026-01-15T21:33:21,sess_user_089_2026-01-15,74,item_020,app_013,poi_015,,,
event_00114,user_010,search,2026-01-15T22:04:17,sess_user_010_2026-01-15,187,item_010,app_010,poi_010,,特斯拉Model S,
event_00447,user_044,click,2026-01-15T22:17:40,sess_user_044_2026-01-15,4,item_005,app_002,poi_014,,,
event_00669,user_067,add_to_cart,2026-01-16T00:02:58,sess_user_067_2026-01-16,199,item_014,,poi_010,,,
event_00753,user_076,search,2026-01-16T00:09:09,sess_user_076_2026-01-16,184,item_019,app_013,poi_015,,沃尔沃S90,
event_00696,user_070,purchase,2026-01-16T00:45:08,sess_user_070_2026-01-16,519,item_007,app_011,,935676,,
event_00857,user_085,browse,2026-01-16T01:13:06,sess_user_085_2026-01-16,146,item_009,app_002,,,,
event_00741,user_075,purchase,2026-01-16T03:34:40,sess_user_075_2026-01-16,1288,item_014,app_012,,1258683,,
event_00407,user_041,click,2026-01-16T05:12:09,sess_user_041_2026-01-16,4,item_003,app_012,poi_008,,,
event_00750,user_075,search,2026-01-16T05:15:47,sess_user_075_2026-01-16,48,item_002,app_009,,,宝马5系,
event_00198,user_019,browse,2026-01-16T06:02:24,sess_user_019_2026-01-16,580,item_013,app_002,poi_016,,,
event_00113,user_010,compare,2026-01-16T06:03:28,sess_user_010_2026-01-16,132,item_007,app_003,,,,"item_007,item_008"
event_00760,user_076,click,2026-01-16T07:12:40,sess_user_076_2026-01-16,3,item_001,,poi_005,,,
event_00520,user_052,browse,2026-01-16T07:16:40,sess_user_052_2026-01-16,371,item_004,app_005,,,,
event_00221,user_022,purchase,2026-01-16T07:46:45,sess_user_022_2026-01-16,1060,item_008,app_010,poi_013,934023,,
event_00135,user_012,click,2026-01-16T08:28:45,sess_user_012_2026-01-16,4,item_007,app_004,poi_013,,,
event_00349,user_034,click,2026-01-16T09:13:47,sess_user_034_2026-01-16,1,item_016,app_013,,,,
event_00891,user_088,browse,2026-01-16T18:52:37,sess_user_088_2026-01-16,200,item_013,app_005,poi_011,,,
event_00183,user_018,compare,2026-01-16T19:25:58,sess_user_018_2026-01-16,116,item_008,app_006,poi_001,,,"item_008,item_014"
event_00934,user_093,browse,2026-01-16T20:47:28,sess_user_093_2026-01-16,110,item_016,,poi_015,,,
event_00234,user_023,search,2026-01-16T20:49:02,sess_user_023_2026-01-16,269,item_018,app_006,poi_008,,雷克萨斯LX,
event_00656,user_066,compare,2026-01-16T21:03:13,sess_user_066_2026-01-16,170,item_002,,poi_010,,,"item_002,item_004"
event_00923,user_091,add_to_cart,2026-01-16T21:22:27,sess_user_091_2026-01-16,48,item_005,,,,,
event_00197,user_019,click,2026-01-16T21:25:30,sess_user_019_2026-01-16,3,,app_011,poi_013,,,
event_00977,user_097,add_to_cart,2026-01-16T21:27:50,sess_user_097_2026-01-16,175,item_002,app_006,poi_004,,,
event_00043,user_005,compare,2026-01-16T21:38:01,sess_user_005_2026-01-16,35,item_009,app_009,poi_011,,,"item_009,item_008"
event_00872,user_086,click,2026-01-16T21:54:54,sess_user_086_2026-01-16,4,item_020,app_003,poi_006,,,
event_00215,user_022,browse,2026-01-16T21:59:44,sess_user_022_2026-01-16,45,item_003,,poi_005,,,
event_00882,user_088,browse,2026-01-16T22:09:57,sess_user_088_2026-01-16,41,item_017,app_001,,,,
event_00803,user_080,add_to_cart,2026-01-16T22:21:23,sess_user_080_2026-01-16,245,item_019,app_007,,,,
event_00816,user_082,search,2026-01-16T22:22:43,sess_user_082_2026-01-16,23,item_010,app_009,poi_013,,特斯拉Model S,
event_00964,user_096,search,2026-01-17T00:44:47,sess_user_096_2026-01-17,200,item_007,,poi_014,,奥迪A8,
event_00008,user_001,compare,2026-01-17T01:08:11,sess_user_001_2026-01-17,20,item_012,app_012,poi_008,,,"item_012,item_018"
event_00769,user_077,browse,2026-01-17T01:08:38,sess_user_077_2026-01-17,78,item_019,app_008,poi_015,,,
event_00949,user_094,search,2026-01-17T01:21:51,sess_user_094_2026-01-17,60,item_018,app_013,,,雷克萨斯LX,
event_00449,user_045,add_to_cart,2026-01-17T01:26:55,sess_user_045_2026-01-17,107,item_007,app_002,poi_004,,,
event_00494,user_049,browse,2026-01-17T01:31:29,sess_user_049_2026-01-17,498,item_015,app_004,,,,
event_00104,user_010,browse,2026-01-17T01:35:00,sess_user_010_2026-01-17,186,item_020,app_007,poi_009,,,
event_01002,user_100,browse,2026-01-17T01:51:55,sess_user_100_2026-01-17,442,item_015,app_012,poi_009,,,
event_00179,user_017,click,2026-01-17T03:39:15,sess_user_017_2026-01-17,1,item_001,app_007,poi_016,,,
event_00501,user_050,browse,2026-01-17T03:50:20,sess_user_050_2026-01-17,189,item_008,app_010,,,,
event_00642,user_064,browse,2026-01-17T05:26:36,sess_user_064_2026-01-17,387,item_019,app_005,poi_005,,,
event_00751,user_075,purchase,2026-01-17T05:31:55,sess_user_075_2026-01-17,226,item_015,,,462924,,
event_00745,user_075,browse,2026-01-17T05:53:58,sess_user_075_2026-01-17,519,item_010,,poi_004,,,
event_00273,user_027,search,2026-01-17T07:19:08,sess_user_027_2026-01-17,274,,app_003,,,特斯拉,
event_00211,user_021,browse,2026-01-17T07:23:25,sess_user_021_2026-01-17,225,,app_010,,,,
event_00240,user_024,browse,2026-01-17T07:51:55,sess_user_024_2026-01-17,563,item_012,app_005,,,,
event_00570,user_058,compare,2026-01-17T08:11:16,sess_user_058_2026-01-17,23,item_016,app_003,poi_002,,,"item_016,item_019"
event_00995,user_099,compare,2026-01-17T09:27:30,sess_user_099_2026-01-17,79,,app_009,poi_011,,,
event_00071,user_007,purchase,2026-01-17T18:50:42,sess_user_007_2026-01-17,908,item_008,app_013,,1304702,,
event_00368,user_037,search,2026-01-17T19:00:20,sess_user_037_2026-01-17,36,item_013,,poi_005,,保时捷Panamera,
event_00498,user_049,add_to_cart,2026-01-17T19:00:31,sess_user_049_2026-01-17,219,item_011,,,,,
event_00796,user_079,browse,2026-01-17T19:20:34,sess_user_079_2026-01-17,172,item_013,app_001,poi_007,,,
event_00746,user_075,compare,2026-01-17T19:30:38,sess_user_075_2026-01-17,149,item_014,app_008,poi_012,,,"item_014,item_001"
event_00918,user_091,purchase,2026-01-17T20:00:39,sess_user_091_2026-01-17,247,item_006,app_012,poi_010,697872,,
event_00120,user_011,browse,2026-01-17T20:01:41,sess_user_011_2026-01-17,104,item_017,app_011,poi_010,,,
event_00842,user_084,click,2026-01-17T20:26:49,sess_user_084_2026-01-17,5,item_012,,poi_004,,,
event_00079,user_008,click,2026-01-17T21:01:36,sess_user_008_2026-01-17,6,item_017,,poi_004,,,
event_00060,user_006,search,2026-01-17T21:55:07,sess_user_006_2026-01-17,196,item_020,app_006,poi_002,,沃尔沃XC90,
event_00342,user_034,click,2026-01-17T23:06:43,sess_user_034_2026-01-17,9,,,poi_005,,,
event_00716,user_071,browse,2026-01-17T23:28:48,sess_user_071_2026-01-17,221,item_011,,poi_014,,,
event_00315,user_031,browse,2026-01-17T23:44:27,sess_user_031_2026-01-17,445,item_008,app_002,,,,
event_00864,user_086,compare,2026-01-17T23:56:27,sess_user_086_2026-01-17,93,item_006,app_006,,,,"item_006,item_012"
event_00250,user_025,purchase,2026-01-18T00:17:21,sess_user_025_2026-01-18,215,item_003,app_007,poi_012,1156637,,
event_00694,user_069,compare,2026-01-18T00:57:14,sess_user_069_2026-01-18,252,item_020,,poi_007,,,"item_020,item_001"
event_00817,user_082,search,2026-01-18T01:31:17,sess_user_082_2026-01-18,230,item_008,app_006,poi_015,,奥迪A6,
event_00095,user_009,compare,2026-01-18T01:37:36,sess_user_009_2026-01-18,93,item_003,app_006,,,,"item_003,item_012"
event_00834,user_083,add_to_cart,2026-01-18T01:46:14,sess_user_083_2026-01-18,182,,,poi_001,,,
event_00972,user_097,add_to_cart,2026-01-18T02:30:08,sess_user_097_2026-01-18,15,item_006,app_013,,,,
event_00950,user_094,add_to_cart,2026-01-18T02:30:21,sess_user_094_2026-01-18,193,,app_002,,,,
event_00608,user_061,search,2026-01-18T03:03:55,sess_user_061_2026-01-18,226,item_008,,poi_005,,奥迪A6,
event_00704,user_070,add_to_cart,2026-01-18T03:15:18,sess_user_070_2026-01-18,43,item_016,app_005,poi_007,,,
event_00377,user_038,search,2026-01-18T03:25:58,sess_user_038_2026-01-18,99,,app_003,poi_007,,奔驰,
event_00768,user_077,search,2026-01-18T03:50:33,sess_user_077_2026-01-18,253,item_014,app_004,,,保时捷Cayenne,
event_00428,user_043,search,2026-01-18T03:55:41,sess_user_043_2026-01-18,144,item_019,,poi_003,,沃尔沃S90,
event_00131,user_012,search,2026-01-18T05:04:41,sess_user_012_2026-01-18,120,item_004,app_011,,,奔驰S级,
event_00094,user_009,purchase,2026-01-18T05:23:35,sess_user_009_2026-01-18,1248,item_010,,,1278123,,
event_00626,user_063,click,2026-01-18T05:27:57,sess_user_063_2026-01-18,1,item_015,app_013,poi_015,,,
event_00828,user_083,purchase,2026-01-18T05:39:33,sess_user_083_2026-01-18,1370,item_014,app_010,poi_004,1235817,,
event_00176,user_017,click,2026-01-18T06:13:19,sess_user_017_2026-01-18,4,item_001,app_011,,,,
event_00295,user_029,browse,2026-01-18T06:14:55,sess_user_029_2026-01-18,382,item_011,app_012,poi_015,,,
event_00226,user_022,purchase,2026-01-18T06:15:27,sess_user_022_2026-01-18,860,item_020,app_001,poi_012,680060,,
event_00090,user_009,browse,2026-01-18T06:25:26,sess_user_009_2026-01-18,333,,,poi_014,,,
event_00055,user_006,browse,2026-01-18T06:26:33,sess_user_006_2026-01-18,330,item_008,app_010,poi_006,,,
event_00430,user_043,click,2026-01-18T06:37:37,sess_user_043_2026-01-18,10,item_014,app_002,poi_014,,,
event_00598,user_060,browse,2026-01-18T06:50:27,sess_user_060_2026-01-18,531,item_016,,poi_008,,,
event_00214,user_021,click,2026-01-18T06:51:29,sess_user_021_2026-01-18,3,item_016,app_009,poi_009,,,
event_00619,user_062,compare,2026-01-18T07:06:06,sess_user_062_2026-01-18,157,item_012,,poi_003,,,"item_012,item_002"
event_00032,user_004,search,2026-01-18T07:37:30,sess_user_004_2026-01-18,64,item_018,app_008,,,雷克萨斯LX,
event_00596,user_060,browse,2026-01-18T08:10:12,sess_user_060_2026-01-18,164,,app_011,poi_003,,,
event_00571,user_058,browse,2026-01-18T08:12:49,sess_user_058_2026-01-18,114,item_013,,,,,
event_00813,user_082,add_to_cart,2026-01-18T08:22:45,sess_user_082_2026-01-18,254,item_017,app_007,,,,
event_00241,user_024,search,2026-01-18T09:27:10,sess_user_024_2026-01-18,87,item_009,app_004,,,奥迪Q7,
event_00659,user_066,search,2026-01-18T18:59:53,sess_user_066_2026-01-18,149,item_012,app_007,poi_013,,特斯拉Model X,
event_00784,user_078,search,2026-01-18T19:09:24,sess_user_078_2026-01-18,70,item_014,app_001,poi_012,,保时捷Cayenne,
event_00015,user_002,click,2026-01-18T20:42:45,sess_user_002_2026-01-18,9,item_008,app_003,,,,
event_00963,user_096,purchase,2026-01-18T20:45:34,sess_user_096_2026-01-18,257,item_013,,poi_008,670555,,
event_00783,user_078,purchase,2026-01-18T20:55:07,sess_user_078_2026-01-18,1527,item_001,app_001,poi_014,880432,,
event_00195,user_019,compare,2026-01-18T21:08:18,sess_user_019_2026-01-18,99,item_009,app_006,poi_010,,,"item_009,item_008"
event_00412,user_041,search,2026-01-18T21:47:33,sess_user_041_2026-01-18,238,item_014,app_010,,,保时捷Cayenne,
event_00080,user_008,click,2026-01-18T21:47:51,sess_user_008_2026-01-18,3,item_012,app_012,poi_015,,,
event_00411,user_041,compare,2026-01-18T22:03:32,sess_user_041_2026-01-18,240,item_003,,poi_010,,,"item_003,item_009"
event_00287,user_028,browse,2026-01-18T23:34:51,sess_user_028_2026-01-18,436,item_006,app_012,poi_010,,,
event_00261,user_026,browse,2026-01-18T23:45:57,sess_user_026_2026-01-18,220,item_012,app_005,poi_010,,,
event_00840,user_084,add_to_cart,2026-01-18T23:51:36,sess_user_084_2026-01-18,164,item_012,app_006,,,,
event_00978,user_097,browse,2026-01-19T00:30:00,sess_user_097_2026-01-19,445,item_006,app_001,poi_001,,,
event_00686,user_068,browse,2026-01-19T00:53:54,sess_user_068_2026-01-19,223,item_017,app_004,poi_014,,,
event_00687,user_068,browse,2026-01-19T01:39:55,sess_user_068_2026-01-19,387,item_015,,,,,
event_00448,user_045,browse,2026-01-19T03:02:21,sess_user_045_2026-01-19,469,item_016,app_010,,,,
event_00275,user_027,browse,2026-01-19T03:04:32,sess_user_027_2026-01-19,152,item_001,app_010,poi_003,,,
event_00518,user_052,click,2026-01-19T03:21:00,sess_user_052_2026-01-19,9,item_020,,poi_011,,,
event_00904,user_089,compare,2026-01-19T03:34:50,sess_user_089_2026-01-19,158,,,poi_009,,,
event_00932,user_093,click,2026-01-19T04:28:49,sess_user_093_2026-01-19,8,,,,,,
event_00233,user_023,search,2026-01-19T04:52:52,sess_user_023_2026-01-19,124,item_018,app_011,poi_007,,雷克萨斯LX,
event_00065,user_007,browse,2026-01-19T05:35:06,sess_user_007_2026-01-19,419,item_003,,poi_011,,,
event_00837,user_083,purchase,2026-01-19T05:51:03,sess_user_083_2026-01-19,538,item_008,app_002,poi_014,1127951,,
event_00326,user_031,click,2026-01-19T05:54:38,sess_user_031_2026-01-19,9,item_010,app_012,,,,
event_00730,user_073,click,2026-01-19T06:25:17,sess_user_073_2026-01-19,10,item_019,app_007,poi_002,,,
event_00693,user_069,purchase,2026-01-19T06:33:36,sess_user_069_2026-01-19,1534,item_014,app_009,,1237135,,
event_00854,user_085,browse,2026-01-19T07:27:26,sess_user_085_2026-01-19,280,item_005,app_012,poi_009,,,
event_00965,user_096,search,2026-01-19T07:44:06,sess_user_096_2026-01-19,12,item_019,app_011,poi_011,,沃尔沃S90,
event_00945,user_094,add_to_cart,2026-01-19T09:14:53,sess_user_094_2026-01-19,165,item_012,app_007,,,,
event_00290,user_028,add_to_cart,2026-01-19T20:15:06,sess_user_028_2026-01-19,169,item_012,app_003,poi_002,,,
event_00967,user_097,search,2026-01-19T20:51:05,sess_user_097_2026-01-19,75,item_015,,,,保时捷911,
event_00785,user_078,search,2026-01-19T21:04:19,sess_user_078_2026-01-19,107,item_017,,poi_008,,雷克萨斯RX,
event_00805,user_081,browse,2026-01-19T22:19:43,sess_user_081_2026-01-19,519,item_005,app_010,poi_008,,,
event_00909,user_090,add_to_cart,2026-01-19T22:35:15,sess_user_090_2026-01-19,195,item_014,,,,,
event_00399,user_040,add_to_cart,2026-01-19T23:52:00,sess_user_040_2026-01-19,202,item_001,app_005,poi_004,,,
event_00601,user_061,browse,2026-01-20T00:11:04,sess_user_061_2026-01-20,212,item_009,app_006,poi_007,,,
event_00773,user_078,click,2026-01-20T01:42:12,sess_user_078_2026-01-20,6,item_011,app_001,,,,
event_00930,user_092,click,2026-01-20T02:09:49,sess_user_092_2026-01-20,5,item_003,app_003,poi_016,,,
event_00039,user_005,browse,2026-01-20T03:11:47,sess_user_005_2026-01-20,488,,app_004,poi_010,,,
event_00600,user_060,browse,2026-01-20T03:17:29,sess_user_060_2026-01-20,268,item_004,app_001,poi_006,,,
event_00970,user_097,compare,2026-01-20T03:42:05,sess_user_097_2026-01-20,24,item_004,app_006,poi_015,,,"item_004,item_010"
event_00325,user_031,purchase,2026-01-20T04:13:54,sess_user_031_2026-01-20,132,item_007,app_001,,825915,,
event_00654,user_065,browse,2026-01-20T04:35:56,sess_user_065_2026-01-20,411,item_017,app_005,poi_009,,,
event_00154,user_015,click,2026-01-20T04:38:31,sess_user_015_2026-01-20,1,item_006,app_008,,,,
event_00599,user_060,compare,2026-01-20T04:54:40,sess_user_060_2026-01-20,22,,,poi_009,,,
event_00996,user_100,browse,2026-01-20T05:23:26,sess_user_100_2026-01-20,581,item_001,app_003,poi_010,,,
event_00667,user_066,click,2026-01-20T05:39:14,sess_user_066_2026-01-20,3,,app_007,poi_003,,,
event_00554,user_057,browse,2026-01-20T05:52:32,sess_user_057_2026-01-20,566,item_009,,poi_013,,,
event_00253,user_025,click,2026-01-20T06:00:51,sess_user_025_2026-01-20,8,item_003,,,,,
event_00076,user_007,click,2026-01-20T07:29:05,sess_user_007_2026-01-20,2,item_009,app_001,,,,
event_00907,user_090,add_to_cart,2026-01-20T08:09:01,sess_user_090_2026-01-20,261,item_019,,,,,
event_00823,user_082,search,2026-01-20T08:12:11,sess_user_082_2026-01-20,173,item_001,app_010,,,宝马7系,
event_00561,user_058,browse,2026-01-20T09:22:42,sess_user_058_2026-01-20,287,item_004,app_006,,,,
event_00046,user_005,browse,2026-01-20T09:24:46,sess_user_005_2026-01-20,551,item_012,,,,,
event_00378,user_038,click,2026-01-20T18:48:10,sess_user_038_2026-01-20,3,item_005,app_004,,,,
event_00947,user_094,click,2026-01-20T18:48:30,sess_user_094_2026-01-20,2,item_011,app_002,poi_015,,,
event_00189,user_018,browse,2026-01-20T19:21:42,sess_user_018_2026-01-20,442,item_013,app_012,,,,
event_00459,user_046,add_to_cart,2026-01-20T20:11:10,sess_user_046_2026-01-20,105,item_008,app_013,poi_007,,,
event_00912,user_090,browse,2026-01-20T20:20:21,sess_user_090_2026-01-20,457,item_007,app_011,,,,
event_00815,user_082,browse,2026-01-20T20:26:51,sess_user_082_2026-01-20,314,item_020,app_008,poi_007,,,
event_00245,user_024,browse,2026-01-20T21:17:34,sess_user_024_2026-01-20,65,item_002,app_004,poi_002,,,
event_00758,user_076,compare,2026-01-20T21:35:45,sess_user_076_2026-01-20,277,item_001,app_013,poi_015,,,"item_001,item_013"
event_00858,user_085,click,2026-01-20T22:50:22,sess_user_085_2026-01-20,9,,app_001,poi_016,,,
event_00491,user_049,purchase,2026-01-20T23:28:00,sess_user_049_2026-01-20,469,item_017,app_004,poi_011,368218,,
event_00227,user_022,browse,2026-01-20T23:42:54,sess_user_022_2026-01-20,395,,,,,,
event_00734,user_074,compare,2026-01-20T23:44:16,sess_user_074_2026-01-20,36,item_007,app_011,,,,"item_007,item_019"
event_00890,user_088,browse,2026-01-20T23:51:00,sess_user_088_2026-01-20,384,,app_003,,,,
